Date,strategy,benchmark_equal_weight,turnover,cost,strategy_equity,benchmark_equity
2023-09-11,0.0,0.006663114916871882,0.0,0.0,1.0,1.0066631149168719
2023-09-12,0.0,-0.0063729534950228706,0.0,0.0,1.0,1.0002476977003518
2023-09-13,0.0,-0.011603926479810012,0.0,0.0,1.0,0.9886408969546377
2023-09-14,0.0,0.002713639020002434,0.0,0.0,1.0,0.991323711469384
2023-09-15,0.0,0.013311689976186925,0.0,0.0,1.0,1.0045199053825073
2023-09-18,0.0,-0.010242345187669533,0.0,0.0,1.0,0.9942312657636946
2023-09-19,0.0,-0.011148560287711717,0.0,0.0,1.0,0.9831470185574
2023-09-20,0.0,0.01599942135876975,0.0,0.0,1.0,0.9988768019649181
2023-09-21,0.0,0.00332585755889081,0.0,0.0,1.0,1.0021989239271338
2023-09-22,0.0,0.004028748287226991,0.0,0.0,1.0,1.006236531125366
2023-09-25,0.0,0.0019376943646598477,0.0,0.0,1.0,1.0081863099812425
2023-09-26,0.0,0.005978360222527401,0.0,0.0,1.0,1.014213610913731
2023-09-27,0.0,-0.01445680506563407,0.0,0.0,1.0,0.9995513224458383
2023-09-28,0.0,0.0005344485127447562,0.0,0.0,1.0,1.0000855311635315
2023-09-29,0.0,0.0004851640454135442,0.0,0.0,1.0,1.0005707367055903
2023-10-02,0.0,-0.007463555028346169,0.0,0.0,1.0,0.9931029219524352
2023-10-03,0.0,-0.018150607797410512,0.0,0.0,1.0,0.9750775003136142
2023-10-04,0.0,0.014736910345682919,0.0,0.0,1.0,0.9894471300158285
2023-10-05,0.0,-0.0029052031588359117,0.0,0.0,1.0,0.9865725850882054
2023-10-06,0.0,-0.008753744872085467,0.0,0.0,1.0,0.9779363803805494
2023-10-09,0.0,-0.001422147244178773,0.0,0.0,1.0,0.976545610852209
2023-10-10,0.0,0.016749088284472524,0.0,0.0,1.0,0.9929018595021868
2023-10-11,0.0,-0.0189203391487196,0.0,0.0,1.0,0.974115819579011
2023-10-12,0.0,-0.015805752524387207,0.0,0.0,1.0,0.9587191860046546
2023-10-13,0.0,-0.009603107652228715,0.0,0.0,1.0,0.9495125024531947
2023-10-16,0.0,0.017213625063765337,0.0,0.0,1.0,0.9658570546637816
2023-10-17,0.0,-0.0005429379576397109,0.0,0.0,1.0,0.9653326542071505
2023-10-18,0.0,0.015576740279722445,0.0,0.0,1.0,0.9803693902452705
2023-10-19,0.0,-0.009087854349786761,0.0,0.0,1.0,0.9714599360177322
2023-10-20,0.0,-0.009712127636139045,0.0,0.0,1.0,0.9620249931257325
2023-10-23,0.0,0.009201162413142061,0.0,0.0,1.0,0.9708767413329843
